source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0072109,glomerular mesangium development,0.024470586288102232,True,"""The process whose specific outcome is the progression of the glomerular mesangium over time, from its formation to the mature structure. The glomerular mesangium is the thin membrane connective tissue composed of mesangial cells, which helps to support the capillary loops in a renal glomerulus."" [GOC:mtg_kidney_jan10]",16,731,6,21026,0.008207934336525308,0.375,query_1,"['GO:0061448', 'GO:0072012']"
GO:BP,GO:0002027,regulation of heart rate,0.02477753749253507,True,"""Any process that modulates the frequency or rate of heart contraction."" [GOC:dph, GOC:tb, PMID:10358008]",101,731,14,21026,0.019151846785225718,0.13861386138613863,query_1,"['GO:0008016', 'GO:0065008']"
KEGG,KEGG:04924,Renin secretion,0.025131161080040352,True,Renin secretion,69,379,11,8484,0.029023746701846966,0.15942028985507245,query_1,['KEGG:00000']
GO:BP,GO:0008344,adult locomotory behavior,0.025213379063831125,True,"""Locomotory behavior in a fully developed and mature organism."" [GOC:ai]",88,731,13,21026,0.017783857729138167,0.14772727272727273,query_1,"['GO:0007626', 'GO:0030534']"
GO:BP,GO:0009612,response to mechanical stimulus,0.025619213447161657,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus."" [GOC:hb]",222,731,22,21026,0.030095759233926128,0.0990990990990991,query_1,"['GO:0009605', 'GO:0009628']"
GO:BP,GO:0040013,negative regulation of locomotion,0.026790401012928403,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",326,731,28,21026,0.038303693570451436,0.08588957055214724,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048519']"
GO:BP,GO:1902893,regulation of miRNA transcription,0.02735812213326272,True,"""Any process that modulates the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]",76,731,12,21026,0.016415868673050615,0.15789473684210525,query_1,"['GO:0006355', 'GO:0061614', 'GO:2000628']"
GO:BP,GO:0009968,negative regulation of signal transduction,0.028363280435360304,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."" [GOC:sm]",1326,731,76,21026,0.1039671682626539,0.05731523378582202,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010648', 'GO:0023057', 'GO:0048585']"
GO:BP,GO:0007612,learning,0.028796845899936092,True,"""Any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience."" [ISBN:0582227089, ISBN:0721662544]",160,731,18,21026,0.024623803009575923,0.1125,query_1,['GO:0007611']
GO:BP,GO:0061448,connective tissue development,0.02914220552808087,True,"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]",292,731,26,21026,0.03556771545827633,0.08904109589041095,query_1,['GO:0009888']
GO:BP,GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin,0.029303172162415205,True,"""The process in which renin-angiotensin modulates the force with which blood passes through the circulatory system."" [GOC:mtg_cardio]",24,731,7,21026,0.009575923392612859,0.2916666666666667,query_1,['GO:0001990']
GO:BP,GO:0048638,regulation of developmental growth,0.02976731151032171,True,"""Any process that modulates the frequency, rate or extent of developmental growth."" [GOC:go_curators]",310,731,27,21026,0.036935704514363885,0.08709677419354839,query_1,"['GO:0040008', 'GO:0048589', 'GO:0050793']"
GO:BP,GO:0061614,miRNA transcription,0.03139698234509631,True,"""The cellular synthesis of microRNA (miRNA) transcripts. MicroRNA genes are synthesized as primary (pri) miRNA transcripts and subsequently processed to produce the ~22nt miRNAs that function in gene regulation."" [GOC:dph, GOC:kmv, PMID:18778799]",77,731,12,21026,0.016415868673050615,0.15584415584415584,query_1,"['GO:0006351', 'GO:0010586']"
GO:BP,GO:0051966,"regulation of synaptic transmission, glutamatergic",0.03139698234509631,True,"""Any process that modulates the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate."" [GOC:ai]",77,731,12,21026,0.016415868673050615,0.15584415584415584,query_1,"['GO:0035249', 'GO:0050804']"
GO:BP,GO:2000630,positive regulation of miRNA metabolic process,0.03201784968649038,True,"""Any process that activates or increases the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]",65,731,11,21026,0.015047879616963064,0.16923076923076924,query_1,"['GO:0010586', 'GO:0051254', 'GO:2000628']"
GO:BP,GO:0051145,smooth muscle cell differentiation,0.03201784968649038,True,"""The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary."" [CL:0000192, GOC:ai]",65,731,11,21026,0.015047879616963064,0.16923076923076924,query_1,['GO:0042692']
GO:BP,GO:0007416,synapse assembly,0.032305545839097435,True,"""The aggregation, arrangement and bonding together of a set of components to form a synapse. This process ends when the synapse is mature (functional)."" [GOC:mah]",259,731,24,21026,0.03283173734610123,0.09266409266409266,query_1,"['GO:0007399', 'GO:0034329', 'GO:0050808']"
GO:BP,GO:0048145,regulation of fibroblast proliferation,0.03238025841620086,True,"""Any process that modulates the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]",90,731,13,21026,0.017783857729138167,0.14444444444444443,query_1,"['GO:0042127', 'GO:0048144']"
GO:BP,GO:0009893,positive regulation of metabolic process,0.03374390363180882,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,731,169,21026,0.23119015047879618,0.046983597442313035,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0051129,negative regulation of cellular component organization,0.03414745451217644,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",701,731,47,21026,0.06429548563611491,0.06704707560627675,query_1,"['GO:0016043', 'GO:0048523', 'GO:0051128']"
GO:BP,GO:0048146,positive regulation of fibroblast proliferation,0.03460520302225908,True,"""Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]",54,731,10,21026,0.013679890560875513,0.18518518518518517,query_1,"['GO:0008284', 'GO:0048144', 'GO:0048145']"
GO:BP,GO:0090130,tissue migration,0.03489279163471499,True,"""The process in which the population of cells that make up a tissue undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]",104,731,14,21026,0.019151846785225718,0.1346153846153846,query_1,['GO:0032501']
GO:BP,GO:0031032,actomyosin structure organization,0.0406513112939321,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin. The myosin may be organized into filaments."" [GOC:dph, GOC:jl, GOC:mah]",212,731,21,21026,0.028727770177838577,0.09905660377358491,query_1,['GO:0030036']
GO:BP,GO:0048771,tissue remodeling,0.041604601913080706,True,"""The reorganization or renovation of existing tissues. This process can either change the characteristics of a tissue such as in blood vessel remodeling, or result in the dynamic equilibrium of a tissue such as in bone remodeling."" [GOC:ebc]",180,731,19,21026,0.025991792065663474,0.10555555555555556,query_1,['GO:0032501']
GO:BP,GO:1901699,cellular response to nitrogen compound,0.042180209187428534,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",645,731,44,21026,0.060191518467852256,0.06821705426356589,query_1,"['GO:0070887', 'GO:1901698']"
GO:BP,GO:0051963,regulation of synapse assembly,0.043980367775229685,True,"""Any process that modulates the frequency, rate or extent of synapse assembly, the aggregation, arrangement and bonding together of a set of components to form a synapse."" [GOC:ai, GOC:pr]",165,731,18,21026,0.024623803009575923,0.10909090909090909,query_1,"['GO:0007416', 'GO:0050807', 'GO:1901888']"
GO:BP,GO:0031214,biomineral tissue development,0.04500284907552329,True,"""Formation of hard tissues that consist mainly of inorganic compounds, and also contain a small amounts of organic matrices that are believed to play important roles in their formation."" [PMID:15132736]",181,731,19,21026,0.025991792065663474,0.10497237569060773,query_1,"['GO:0009888', 'GO:0048513']"
GO:BP,GO:0048251,elastic fiber assembly,0.04629244958384749,True,"""Assembly of the extracellular matrix fibers that enables the matrix to recoil after transient stretching."" [GOC:jid, PMID:10841810, PMID:12615674]",11,731,5,21026,0.006839945280437756,0.45454545454545453,query_1,"['GO:0085029', 'GO:0097435']"
KEGG,KEGG:04614,Renin-angiotensin system,0.047016879489371305,True,Renin-angiotensin system,23,379,6,8484,0.0158311345646438,0.2608695652173913,query_1,['KEGG:00000']
KEGG,KEGG:04610,Complement and coagulation cascades,0.0473691598793574,True,Complement and coagulation cascades,86,379,12,8484,0.0316622691292876,0.13953488372093023,query_1,['KEGG:00000']
GO:BP,GO:0032355,response to estradiol,0.04780095969824482,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by estradiol, a C18 steroid hormone hydroxylated at C3 and C17 that acts as a potent estrogen."" [GOC:mah, ISBN:0911910123]",121,731,15,21026,0.02051983584131327,0.12396694214876033,query_1,"['GO:0033993', 'GO:1901700']"
GO:BP,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,0.04825415790093747,True,"""Any process that modulates the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]",198,731,20,21026,0.027359781121751026,0.10101010101010101,query_1,"['GO:0001932', 'GO:0018108']"
GO:BP,GO:0016525,negative regulation of angiogenesis,0.04848927196357647,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of angiogenesis."" [GOC:go_curators]",107,731,14,21026,0.019151846785225718,0.1308411214953271,query_1,"['GO:0001525', 'GO:0045765', 'GO:2000181']"
GO:BP,GO:0044087,regulation of cellular component biogenesis,0.048946050341019606,True,"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]",1011,731,61,21026,0.08344733242134063,0.06033630069238378,query_1,"['GO:0044085', 'GO:0050794']"
GO:BP,GO:0035051,cardiocyte differentiation,0.04946273563642516,True,"""The process in which a relatively unspecialized cell acquires the specialized structural and/or functional features of a cell that will form part of the cardiac organ of an individual."" [GOC:bf]",151,731,17,21026,0.023255813953488372,0.11258278145695365,query_1,"['GO:0007507', 'GO:0030154']"
GO:BP,GO:0098773,skin epidermis development,0.04964130270860146,True,"""The process whose specific outcome is the progression of the skin epidermis over time, from its formation to the mature structure."" [GOC:dos]",136,731,16,21026,0.02188782489740082,0.11764705882352941,query_1,"['GO:0008544', 'GO:0043588', 'GO:0060429']"
